ShortName,Version,Directory,File,Folder
7Zip,2301,C:\Program Files\7-Zip,C:\Program Files\7-Zip\7z.exe,General
Acrobat,23.3.20244.0,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,General
Audacity,3.4.2,C:\Program Files\Audacity,C:\Program Files\Audacity\Audacity.exe,General
Blender,4.0.2,C:\Program Files\Blender Foundation\Blender 4.0,C:\Program Files\Blender Foundation\Blender 4.0\blender.exe,General
Chrome,all,C:\Program Files\Google\Chrome\Application,C:\Program Files\Google\Chrome\Application\chrome.exe,General
FileZilla,3.66.1,C:\Program Files\FileZilla FTP Client,C:\Program Files\FileZilla FTP Client\filezilla.exe,General
Firefox,120.0.1,C:\Program Files\Mozilla Firefox,C:\Program Files\Mozilla Firefox\firefox.exe,General
Gimp,2.10.36,C:\Program Files\GIMP 2,C:\Program Files\GIMP 2\bin\gimp-2.10.exe,General
Git,2.43.0,C:\Program Files\Git,C:\Program Files\Git\git-cmd.exe,General
HandBrake,1.7.1,C:\Program Files\HandBrake,C:\Program Files\HandBrake\HandBrake.exe,General
ImageJ,1.5.3,C:\Program Files\ImageJ,C:\Program Files\ImageJ\ImageJ.exe,General
Inkscape,1.3,C:\Program Files\Inkscape,C:\Program Files\Inkscape\bin\inkscape.exe,General
Java JDK,21,C:\Program Files\Java\jdk-21,C:\Program Files\Java\jdk-21\bin\javac.exe,General
Java JRE,8u391,C:\Program Files\Java\jre-1.8,C:\Program Files\Java\jre-1.8\bin\java.exe,General
KeePass,2.55,C:\Program Files\KeePass Password Safe 2,C:\Program Files\KeePass Password Safe 2\KeePass.exe,General
LibreOffice,7.6.4,C:\Program Files\LibreOffice,C:\Program Files\LibreOffice\program\swriter.exe,General
Notepad ++,8.6,C:\Program Files\Notepad++,C:\Program Files\Notepad++\notepad++.exe,General
Microsoft Office 365,16,C:\Program Files\Microsoft Office,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,General
Open Broadcaster Software (OBS),30.0.2,C:\Program Files\obs-studio,C:\Program Files\obs-studio\bin\64bit\obs64.exe,General
paint.net,5.0.12,C:\Program Files\paint.net,C:\Program Files\paint.net\paintdotnet.exe,General
Putty,0.79,C:\Program Files\PuTTY,C:\Program Files\PuTTY\putty.exe,General
Thunderbird,115.5.2,C:\Program Files\Mozilla Thunderbird,C:\Program Files\Mozilla Thunderbird\thunderbird.exe,General
VLC,3.0.20,C:\Program Files\VideoLAN\VLC,C:\Program Files\VideoLAN\VLC\vlc.exe,General
WinSCP,6.1.2,C:\Program Files (x86)\WinSCP,C:\Program Files (x86)\WinSCP\WinSCP.exe,General
Zotero,6.0.30,C:\Program Files (x86)\Zotero,C:\Program Files (x86)\Zotero\zotero.exe,General
Arduino IDE,2.2.1,C:\Program Files\arduino-ide,C:\Program Files\arduino-ide\Arduino IDE.exe,ECE
